,item_total_value,item_total_value,item_total_value
,sum,size,mean
product_category_name,,,
beleza_saude,1412089.53,9465,149.1906529318542
relogios_presentes,1264016.98,5857,215.8130408058733
cama_mesa_banho,1225052.07,10952,111.85647096420746
esporte_lazer,1117968.45,8428,132.64931775035595
informatica_acessorios,1032603.65,7643,135.1044943085176
moveis_decoracao,879835.03,8156,107.87580063756744
utilidades_domesticas,758392.25,6795,111.61033848417955
cool_stuff,691371.51,3715,186.1026944818304
automotivo,669319.92,4139,161.7105387774825
ferramentas_jardim,566991.45,4267,132.87823998125145
